sociedad_portuaria,zona_portuaria,Coordenada,concat
ALGRANEL S.A.,CARTAGENA,"10.406035132604293, -75.52637192089465",ALGRANEL S.A.CARTAGENA
ATUNAMAR LIMITADA,CARTAGENA,"10.410579229112427, -75.51916122149036",ATUNAMAR LIMITADACARTAGENA
BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,BARRANQUILLA,"10.979278505023942, -74.76145721931165",BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.BARRANQUILLA
C.I. UNI�N DE BANANEROS DE URABA - UNIBAN,TURBO,"7.824712773467748, -76.65038480695226",C.I. UNI�N DE BANANEROS DE URABA - UNIBANTURBO
CENIT TRANSPORTE Y LOG�STICA DE HIDROCARBUROS SAS,SANTA MARTA,"11.168750873294554, -74.22595531721178",CENIT TRANSPORTE Y LOG�STICA DE HIDROCARBUROS SASSANTA MARTA
CERREJON ZONA NORTE S.A.,GUAJIRA,"11.124012598125898, -72.62714935105474",CERREJON ZONA NORTE S.A.GUAJIRA
COMPA�IA DE PUERTOS ASOCIADOS S.A.,G. MORROSQUILLO,"9.597189216033138, -75.64696534145251",COMPA�IA DE PUERTOS ASOCIADOS S.A.G. MORROSQUILLO
COREMAR SHOREBASE SA,CARTAGENA,"10.38492217629364, -75.51476086322394",COREMAR SHOREBASE SACARTAGENA
ECOPETROL S.A.,BARRANCABERMEJA,"7.061508347934312, -73.87631603954156",ECOPETROL S.A.BARRANCABERMEJA
ECOPETROL S.A.,CARTAGENA,"10.317969793586158, -75.50187006965376",ECOPETROL S.A.CARTAGENA
GRUPO PORTUARIO S.A,BUENAVENTURA,"3.892026840585879, -77.07885409439194",GRUPO PORTUARIO S.ABUENAVENTURA
NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A,CARTAGENA,"10.405685375466375, -75.5333160662856",NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S ACARTAGENA
OILTANKING COLOMBIA SA,CARTAGENA,"10.297926861974465, -75.50680857302122",OILTANKING COLOMBIA SACARTAGENA
OLEODUCTO CENTRAL S.A.,G. MORROSQUILLO,"9.597189216033138, -75.64696534145251",OLEODUCTO CENTRAL S.A.G. MORROSQUILLO
PALERMO SOCIEDAD PORTUARIA S.A,BARRANQUILLA,"10.978489691730285, -74.75357050554223",PALERMO SOCIEDAD PORTUARIA S.ABARRANQUILLA
PORTMAGDALENA S.A.,BARRANQUILLA,"10.960005851660943, -74.76579624169945",PORTMAGDALENA S.A.BARRANQUILLA
PORTUARIA PUNTA DE VACA S.A.,TURBO,"8.06618970238581, -76.73522250340072",PORTUARIA PUNTA DE VACA S.A.TURBO
PRIMAX COLOMBIA S.A,CARTAGENA,"10.303420971423947, -75.50067306932365",PRIMAX COLOMBIA S.ACARTAGENA
PROMOTORA BANANERA S.A,TURBO,"7.985729316199939, -76.64332832636714",PROMOTORA BANANERA S.ATURBO
PUERTO BRISA S.A.,GUAJIRA,"11.261383845259083, -73.38107327725342",PUERTO BRISA S.A.GUAJIRA
PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,CARTAGENA,"10.344294397722917, -75.50289676377675",PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIALCARTAGENA
PUERTO PIMSA S.A.,Z.P. RIO MAGDALENA,"10.836921669091584, -74.76322910154325",PUERTO PIMSA S.A.Z.P. RIO MAGDALENA
PUERTOS DEL CARIBE SOCIEDAD PORTUARIA S.A.,CARTAGENA,"11.042918121131105, -74.82502437485675",PUERTOS DEL CARIBE SOCIEDAD PORTUARIA S.A.CARTAGENA
ROMERO Y BURGOS & CIA S.EN C.,TUMACO,"1.809851003666554, -78.76544881157652",ROMERO Y BURGOS & CIA S.EN C.TUMACO
SAN ANDRES PORT SOCIETY SA,SAN ANDRES,"12.574162024288015, -81.70328650763564",SAN ANDRES PORT SOCIETY SASAN ANDRES
SOCIEDAD PORTUARIA BAVARIA S.A,CARTAGENA,"10.285114815197604, -75.52807578632188",SOCIEDAD PORTUARIA BAVARIA S.ACARTAGENA
SOCIEDAD PORTUARIA DE LA PENINSULA S.A.,GUAJIRA,"12.257193176715532, -71.96092683587113",SOCIEDAD PORTUARIA DE LA PENINSULA S.A.GUAJIRA
SOCIEDAD PORTUARIA DEL DIQUE S.A.,CARTAGENA,"10.29526775577972, -75.51251807986428",SOCIEDAD PORTUARIA DEL DIQUE S.A.CARTAGENA
SOCIEDAD PORTUARIA DEXTON S.A.,CARTAGENA,"10.36928819653533, -75.50614214026608",SOCIEDAD PORTUARIA DEXTON S.A.CARTAGENA
SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.,BARRANCABERMEJA,"7.097195928404923, -73.8873915023285",SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.BARRANCABERMEJA
SOCIEDAD PORTUARIA LA GLORIA DE COLOMBIA S.A.,Z.P. RIO MAGDALENA,"8.636970020473091, -73.81505215215917",SOCIEDAD PORTUARIA LA GLORIA DE COLOMBIA S.A.Z.P. RIO MAGDALENA
SOCIEDAD PORTUARIA MICHELLMAR S.A.,BARRANQUILLA,"11.02830876548907, -74.80145658095532",SOCIEDAD PORTUARIA MICHELLMAR S.A.BARRANQUILLA
SOCIEDAD PORTUARIA MONOMEROS COLOMBO VENEZOLANOS S.A.,BARRANQUILLA,"11.033870189130969, -74.81146307670566",SOCIEDAD PORTUARIA MONOMEROS COLOMBO VENEZOLANOS S.A.BARRANQUILLA
SOCIEDAD PORTUARIA OLEFINAS Y DERIVADOS S.A.,CARTAGENA,"10.38483146211285, -75.516090653428",SOCIEDAD PORTUARIA OLEFINAS Y DERIVADOS S.A.CARTAGENA
SOCIEDAD PORTUARIA PUERTO BAHIA,CARTAGENA,"10.285149592887427, -75.52888862144877",SOCIEDAD PORTUARIA PUERTO BAHIACARTAGENA
SOCIEDAD PORTUARIA PUERTO NUEVO S.A.,CIENAGA,"11.052370417391451, -74.20690107171106",SOCIEDAD PORTUARIA PUERTO NUEVO S.A.CIENAGA
SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,BUENAVENTURA,"3.894510186337817, -77.07593585112582",SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.ABUENAVENTURA
SOCIEDAD PORTUARIA REGIONAL TUMACO PACIFIC PORT S.A,TUMACO,"1.8201787260840883, -78.7320719098901",SOCIEDAD PORTUARIA REGIONAL TUMACO PACIFIC PORT S.ATUMACO
SOCIEDAD PORTUARIA RIVERPORT S.A.,BARRANQUILLA,"10.987411039240953, -74.76670254101428",SOCIEDAD PORTUARIA RIVERPORT S.A.BARRANQUILLA
SOCIEDAD PORTUARIA TERMINAL DE IFOS S.A.,CARTAGENA,"10.30195433389598, -75.50073650055215",SOCIEDAD PORTUARIA TERMINAL DE IFOS S.A.CARTAGENA
SOCIEDAD PORTUARIA TRANSMARSYP S.A.,CARTAGENA,"10.372697247390127, -75.49589240999971",SOCIEDAD PORTUARIA TRANSMARSYP S.A.CARTAGENA
SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,BUENAVENTURA,"3.9051285475364534, -77.07988406260353",SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.BUENAVENTURA
VOPAK COLOMBIA S.A.,CARTAGENA,"10.298719609572052, -75.50405629446175",VOPAK COLOMBIA S.A.CARTAGENA
ZONA FRANCA ARGOS S.A.S.,CARTAGENA,"10.33461621714535, -75.50350741302697",ZONA FRANCA ARGOS S.A.S.CARTAGENA
ATUNAMAR LIMITADA,BARRANQUILLA,"10.40770004046148, -75.52258442107349",ATUNAMAR LIMITADABARRANQUILLA
CENIT TRANSPORTE Y LOG�STICA DE HIDROCARBUROS SAS,G. MORROSQUILLO,"9.597189216033138, -75.64696534145251",CENIT TRANSPORTE Y LOG�STICA DE HIDROCARBUROS SASG. MORROSQUILLO
CENIT TRANSPORTE Y LOG�STICA DE HIDROCARBUROS SAS,TUMACO,"1.8201829221096786, -78.73246797822462",CENIT TRANSPORTE Y LOG�STICA DE HIDROCARBUROS SASTUMACO
NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A,SAN ANDRES,"12.574162024288015, -81.70328650763564",NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S ASAN ANDRES
